labels,predictions,outputs,categories
1.0,1.0,0.5163044,ddpm
1.0,1.0,0.53921586,ddpm
1.0,1.0,0.53703666,ddpm
1.0,1.0,0.5217033,ddpm
1.0,1.0,0.5115951,ddpm
1.0,1.0,0.5538419,ddpm
1.0,1.0,0.5106375,ddpm
1.0,1.0,0.57578254,ddpm
1.0,1.0,0.52824783,ddpm
1.0,1.0,0.5619526,ddpm
1.0,1.0,0.51882803,ddpm
1.0,0.0,0.46696034,ddpm
1.0,1.0,0.54027754,ddpm
1.0,1.0,0.5172445,ddpm
1.0,0.0,0.4880564,ddpm
1.0,0.0,0.4942169,ddpm
1.0,0.0,0.49026543,ddpm
1.0,1.0,0.5413165,ddpm
1.0,1.0,0.51020265,ddpm
1.0,0.0,0.4974221,ddpm
1.0,1.0,0.53379494,ddpm
1.0,1.0,0.59565395,ddpm
1.0,1.0,0.50388354,ddpm
1.0,1.0,0.522456,ddpm
1.0,1.0,0.5246607,ddpm
1.0,1.0,0.5389795,ddpm
1.0,1.0,0.5257907,ddpm
1.0,1.0,0.56222016,ddpm
1.0,1.0,0.5286319,ddpm
1.0,1.0,0.5555249,ddpm
1.0,1.0,0.5585647,ddpm
1.0,1.0,0.53111833,ddpm
1.0,1.0,0.50554734,ddpm
1.0,1.0,0.5171503,ddpm
1.0,1.0,0.509241,ddpm
1.0,0.0,0.47979537,ddpm
1.0,1.0,0.5598819,ddpm
1.0,1.0,0.5487399,ddpm
1.0,1.0,0.5073962,ddpm
1.0,1.0,0.50042224,ddpm
1.0,1.0,0.5554918,ddpm
1.0,1.0,0.51370776,ddpm
1.0,0.0,0.48746365,ddpm
1.0,1.0,0.5306884,ddpm
1.0,1.0,0.5154539,ddpm
1.0,0.0,0.49959973,ddpm
1.0,1.0,0.5277047,ddpm
1.0,1.0,0.52361727,ddpm
1.0,1.0,0.5182901,ddpm
1.0,1.0,0.53388125,ddpm
1.0,1.0,0.5073961,ddpm
1.0,1.0,0.5374177,ddpm
1.0,1.0,0.5930075,ddpm
1.0,1.0,0.5853717,ddpm
1.0,0.0,0.48875165,ddpm
1.0,1.0,0.52920806,ddpm
1.0,1.0,0.5147452,ddpm
1.0,1.0,0.56002605,ddpm
1.0,1.0,0.599152,ddpm
1.0,1.0,0.5264384,ddpm
1.0,0.0,0.48681274,ddpm
1.0,1.0,0.5653135,ddpm
1.0,1.0,0.53059185,ddpm
1.0,1.0,0.5221766,ddpm
1.0,1.0,0.5358832,ddpm
1.0,1.0,0.51514673,ddpm
1.0,1.0,0.51133937,ddpm
1.0,1.0,0.54995626,ddpm
1.0,1.0,0.50705165,ddpm
1.0,1.0,0.54219806,ddpm
1.0,1.0,0.5333323,ddpm
1.0,1.0,0.5286046,ddpm
1.0,1.0,0.51290613,ddpm
1.0,0.0,0.49819225,ddpm
1.0,1.0,0.5210891,ddpm
1.0,1.0,0.5244667,ddpm
1.0,1.0,0.5081506,ddpm
1.0,1.0,0.5092488,ddpm
1.0,0.0,0.49456653,ddpm
1.0,1.0,0.54193497,ddpm
1.0,1.0,0.6054274,ddpm
1.0,0.0,0.49169445,ddpm
1.0,1.0,0.5372135,ddpm
1.0,1.0,0.50209236,ddpm
1.0,1.0,0.5030873,ddpm
1.0,1.0,0.51638466,ddpm
1.0,1.0,0.51580024,ddpm
1.0,1.0,0.50517756,ddpm
1.0,1.0,0.57885885,ddpm
1.0,0.0,0.4890529,ddpm
1.0,1.0,0.52017504,ddpm
1.0,1.0,0.5300481,ddpm
1.0,1.0,0.50283706,ddpm
1.0,1.0,0.52125317,ddpm
1.0,1.0,0.5342046,ddpm
1.0,1.0,0.5047088,ddpm
1.0,1.0,0.51151633,ddpm
1.0,1.0,0.504097,ddpm
1.0,1.0,0.57773525,ddpm
1.0,1.0,0.5472171,ddpm
1.0,1.0,0.5210323,ddpm
1.0,1.0,0.55590916,ddpm
1.0,1.0,0.576142,ddpm
1.0,1.0,0.5319873,ddpm
1.0,0.0,0.49267212,ddpm
1.0,0.0,0.4624203,ddpm
1.0,1.0,0.5248522,ddpm
1.0,1.0,0.5565667,ddpm
1.0,1.0,0.5252555,ddpm
1.0,1.0,0.51194155,ddpm
1.0,1.0,0.5320751,ddpm
1.0,1.0,0.5019704,ddpm
1.0,0.0,0.4715097,ddpm
1.0,1.0,0.52962154,ddpm
1.0,1.0,0.52244,ddpm
1.0,1.0,0.5005732,ddpm
1.0,1.0,0.5463731,ddpm
1.0,1.0,0.58027184,ddpm
1.0,1.0,0.5468752,ddpm
1.0,1.0,0.5251627,ddpm
1.0,0.0,0.48457563,ddpm
1.0,1.0,0.5046517,ddpm
1.0,1.0,0.5166972,ddpm
1.0,0.0,0.4976778,ddpm
1.0,0.0,0.49410194,ddpm
1.0,1.0,0.507609,ddpm
1.0,1.0,0.50678307,ddpm
1.0,1.0,0.56698364,ddpm
1.0,0.0,0.48374435,ddpm
1.0,0.0,0.46666667,ddpm
1.0,0.0,0.47955048,ddpm
1.0,1.0,0.54616517,ddpm
1.0,1.0,0.5621737,ddpm
1.0,1.0,0.55355084,ddpm
1.0,1.0,0.56988823,ddpm
1.0,1.0,0.52586305,ddpm
1.0,1.0,0.50943047,ddpm
1.0,1.0,0.5199172,ddpm
1.0,1.0,0.5299054,ddpm
1.0,1.0,0.52475595,ddpm
1.0,1.0,0.527691,ddpm
1.0,1.0,0.5281889,ddpm
1.0,1.0,0.51886815,ddpm
1.0,0.0,0.47574273,ddpm
1.0,1.0,0.5271236,ddpm
1.0,1.0,0.5394958,ddpm
1.0,1.0,0.5558799,ddpm
1.0,0.0,0.49532902,ddpm
1.0,0.0,0.46826658,ddpm
1.0,1.0,0.5444768,ddpm
1.0,1.0,0.5292158,ddpm
1.0,1.0,0.563898,ddpm
1.0,1.0,0.5178051,ddpm
1.0,1.0,0.5219312,ddpm
1.0,0.0,0.49752077,ddpm
1.0,1.0,0.51959693,ddpm
1.0,0.0,0.4996806,ddpm
1.0,1.0,0.50418556,ddpm
1.0,1.0,0.55962527,ddpm
1.0,1.0,0.5284413,ddpm
1.0,1.0,0.5994095,ddpm
1.0,1.0,0.53737587,ddpm
1.0,1.0,0.5456656,ddpm
1.0,1.0,0.51384676,ddpm
1.0,1.0,0.55682766,ddpm
1.0,1.0,0.52045196,ddpm
1.0,0.0,0.47409058,ddpm
1.0,1.0,0.5333206,ddpm
1.0,0.0,0.4937762,ddpm
1.0,0.0,0.47175533,ddpm
1.0,0.0,0.49961573,ddpm
1.0,1.0,0.5073449,ddpm
1.0,1.0,0.567465,ddpm
1.0,1.0,0.52630335,ddpm
1.0,1.0,0.5071863,ddpm
1.0,1.0,0.5778841,ddpm
1.0,1.0,0.5270645,ddpm
1.0,1.0,0.5145684,ddpm
1.0,1.0,0.5294913,ddpm
1.0,0.0,0.49918985,ddpm
1.0,1.0,0.51247054,ddpm
1.0,1.0,0.5258681,ddpm
1.0,1.0,0.50981915,ddpm
1.0,0.0,0.49702105,ddpm
1.0,1.0,0.52608234,ddpm
1.0,1.0,0.5199882,ddpm
1.0,1.0,0.5613084,ddpm
1.0,1.0,0.55803597,ddpm
1.0,1.0,0.5036684,ddpm
1.0,1.0,0.51380616,ddpm
1.0,1.0,0.53572,ddpm
1.0,0.0,0.49934873,ddpm
1.0,1.0,0.52252483,ddpm
1.0,1.0,0.540744,ddpm
1.0,1.0,0.51814353,ddpm
1.0,1.0,0.5219603,ddpm
1.0,0.0,0.49864018,ddpm
1.0,1.0,0.55211014,ddpm
1.0,1.0,0.53353286,ddpm
1.0,1.0,0.52475446,ddpm
1.0,1.0,0.5150413,ddpm
1.0,1.0,0.5822749,ddpm
1.0,1.0,0.5186685,ddpm
1.0,0.0,0.49290708,ddpm
1.0,1.0,0.543076,ddpm
1.0,1.0,0.55014586,ddpm
1.0,0.0,0.4679266,ddpm
1.0,1.0,0.5078975,ddpm
1.0,1.0,0.5650787,ddpm
1.0,1.0,0.512815,ddpm
1.0,1.0,0.5943397,ddpm
1.0,1.0,0.50122356,ddpm
1.0,1.0,0.5220474,ddpm
1.0,1.0,0.5296149,ddpm
1.0,0.0,0.48368594,ddpm
1.0,0.0,0.45368576,ddpm
1.0,1.0,0.52684546,ddpm
1.0,1.0,0.56515086,ddpm
1.0,0.0,0.4641121,ddpm
1.0,0.0,0.49307802,ddpm
1.0,1.0,0.5173049,ddpm
1.0,0.0,0.4905399,ddpm
1.0,0.0,0.47605872,ddpm
1.0,0.0,0.49697682,ddpm
1.0,0.0,0.49952117,ddpm
1.0,1.0,0.51909435,ddpm
1.0,1.0,0.5266409,ddpm
1.0,0.0,0.49825457,ddpm
1.0,1.0,0.54901105,ddpm
1.0,0.0,0.4938475,ddpm
1.0,1.0,0.5261179,ddpm
1.0,1.0,0.5435415,ddpm
1.0,0.0,0.48080948,ddpm
1.0,1.0,0.52853495,ddpm
1.0,1.0,0.544804,ddpm
1.0,0.0,0.4995993,ddpm
1.0,1.0,0.53186375,ddpm
1.0,0.0,0.49795207,ddpm
1.0,1.0,0.529234,ddpm
1.0,1.0,0.58493674,ddpm
1.0,1.0,0.5675549,ddpm
1.0,1.0,0.53070116,ddpm
1.0,0.0,0.49605268,ddpm
1.0,0.0,0.4914611,ddpm
1.0,1.0,0.52907515,ddpm
1.0,1.0,0.54765624,ddpm
1.0,0.0,0.49459743,ddpm
1.0,1.0,0.5168041,ddpm
1.0,1.0,0.5281955,ddpm
1.0,1.0,0.51936764,ddpm
1.0,1.0,0.54413164,ddpm
1.0,1.0,0.52246773,ddpm
1.0,0.0,0.4706825,ddpm
1.0,1.0,0.54418594,ddpm
1.0,1.0,0.502169,ddpm
1.0,0.0,0.45468193,ddpm
1.0,1.0,0.5764669,ddpm
1.0,0.0,0.4982464,ddpm
1.0,1.0,0.53235537,ddpm
1.0,0.0,0.49396333,ddpm
1.0,1.0,0.5284756,ddpm
1.0,1.0,0.53746814,ddpm
1.0,1.0,0.55933154,ddpm
1.0,1.0,0.52406126,ddpm
1.0,1.0,0.52926517,ddpm
1.0,1.0,0.50095195,ddpm
1.0,1.0,0.559776,ddpm
1.0,1.0,0.52682805,ddpm
1.0,1.0,0.5819666,ddpm
1.0,1.0,0.542442,ddpm
1.0,1.0,0.5206659,ddpm
1.0,1.0,0.5577289,ddpm
1.0,1.0,0.5521833,ddpm
1.0,1.0,0.52719474,ddpm
1.0,0.0,0.49496105,ddpm
1.0,0.0,0.4989464,ddpm
1.0,1.0,0.53470904,ddpm
1.0,1.0,0.51092887,ddpm
1.0,1.0,0.53488034,ddpm
1.0,1.0,0.5190902,ddpm
1.0,1.0,0.5409545,ddpm
1.0,1.0,0.6030688,ddpm
1.0,0.0,0.47733793,ddpm
1.0,1.0,0.54116076,ddpm
1.0,1.0,0.5040338,ddpm
1.0,1.0,0.5397665,ddpm
1.0,1.0,0.59547454,ddpm
1.0,0.0,0.49686855,ddpm
1.0,1.0,0.5349165,ddpm
1.0,0.0,0.49706653,ddpm
1.0,1.0,0.5576149,ddpm
1.0,1.0,0.5452901,ddpm
1.0,1.0,0.53548664,ddpm
1.0,0.0,0.48034096,ddpm
1.0,1.0,0.50114006,ddpm
1.0,1.0,0.5103575,ddpm
1.0,0.0,0.4856713,ddpm
1.0,0.0,0.4749505,ddpm
1.0,1.0,0.5059685,ddpm
1.0,1.0,0.528615,ddpm
1.0,0.0,0.4973672,ddpm
1.0,1.0,0.5094297,ddpm
1.0,0.0,0.48333713,ddpm
1.0,1.0,0.51431054,ddpm
1.0,1.0,0.5100622,ddpm
1.0,1.0,0.5049375,ddpm
1.0,1.0,0.5043909,ddpm
1.0,1.0,0.5539815,ddpm
1.0,1.0,0.5260873,ddpm
1.0,1.0,0.5097077,ddpm
1.0,1.0,0.52342385,ddpm
1.0,1.0,0.5455741,ddpm
1.0,1.0,0.51668674,ddpm
1.0,1.0,0.5204755,ddpm
1.0,1.0,0.5156088,ddpm
1.0,1.0,0.5270307,ddpm
1.0,1.0,0.5744068,ddpm
1.0,1.0,0.5877519,ddpm
1.0,1.0,0.51851875,ddpm
1.0,1.0,0.50233096,ddpm
1.0,1.0,0.56225413,ddpm
1.0,1.0,0.5123283,ddpm
1.0,0.0,0.4633298,ddpm
1.0,1.0,0.51268226,ddpm
1.0,1.0,0.5569586,ddpm
1.0,1.0,0.560559,ddpm
1.0,1.0,0.51550883,ddpm
1.0,0.0,0.4957171,ddpm
1.0,0.0,0.48622847,ddpm
1.0,1.0,0.54566187,ddpm
1.0,1.0,0.5315239,ddpm
1.0,1.0,0.50217,ddpm
1.0,1.0,0.5025556,ddpm
1.0,1.0,0.5016043,ddpm
1.0,1.0,0.52956533,ddpm
1.0,0.0,0.48214447,ddpm
1.0,0.0,0.4858188,ddpm
1.0,1.0,0.51362383,ddpm
1.0,0.0,0.48831546,ddpm
1.0,1.0,0.5121532,ddpm
1.0,1.0,0.5469235,ddpm
1.0,1.0,0.5584255,ddpm
1.0,1.0,0.5678753,ddpm
1.0,0.0,0.4987249,ddpm
1.0,1.0,0.56451744,ddpm
1.0,0.0,0.47664464,ddpm
1.0,1.0,0.54689866,ddpm
1.0,1.0,0.5185707,ddpm
1.0,1.0,0.53417546,ddpm
1.0,1.0,0.53272986,ddpm
1.0,0.0,0.49762383,ddpm
1.0,1.0,0.5150948,ddpm
1.0,1.0,0.5061598,ddpm
1.0,1.0,0.5120482,ddpm
1.0,1.0,0.54851335,ddpm
1.0,1.0,0.5859536,ddpm
1.0,1.0,0.5462071,ddpm
1.0,1.0,0.5624297,ddpm
1.0,1.0,0.56468046,ddpm
1.0,1.0,0.50882185,ddpm
1.0,1.0,0.5073224,ddpm
1.0,1.0,0.5172537,ddpm
1.0,1.0,0.54086673,ddpm
1.0,0.0,0.49236062,ddpm
1.0,0.0,0.49060342,ddpm
1.0,0.0,0.49502528,ddpm
1.0,1.0,0.55799705,ddpm
1.0,1.0,0.5242775,ddpm
1.0,1.0,0.5176925,ddpm
1.0,1.0,0.5057476,ddpm
1.0,1.0,0.5449898,ddpm
1.0,1.0,0.593878,ddpm
1.0,1.0,0.500123,ddpm
1.0,0.0,0.49163324,ddpm
1.0,1.0,0.502605,ddpm
1.0,1.0,0.58286047,ddpm
1.0,1.0,0.51713294,ddpm
1.0,1.0,0.50625443,ddpm
1.0,0.0,0.47508848,ddpm
1.0,1.0,0.53194875,ddpm
1.0,1.0,0.53986406,ddpm
1.0,1.0,0.5543146,ddpm
1.0,1.0,0.5154261,ddpm
1.0,1.0,0.5538137,ddpm
1.0,1.0,0.5192641,ddpm
1.0,1.0,0.5039626,ddpm
1.0,0.0,0.48364964,ddpm
1.0,1.0,0.52196175,ddpm
1.0,1.0,0.55095315,ddpm
1.0,0.0,0.49850535,ddpm
1.0,1.0,0.55344415,ddpm
1.0,1.0,0.52793515,ddpm
1.0,1.0,0.531979,ddpm
1.0,0.0,0.47739482,ddpm
1.0,0.0,0.49726972,ddpm
1.0,0.0,0.49869153,ddpm
1.0,1.0,0.50551295,ddpm
1.0,0.0,0.49568102,ddpm
1.0,0.0,0.47181392,ddpm
1.0,1.0,0.50547427,ddpm
1.0,1.0,0.5156942,ddpm
1.0,1.0,0.5186266,ddpm
1.0,0.0,0.49863878,ddpm
1.0,1.0,0.506595,ddpm
1.0,1.0,0.5670255,ddpm
1.0,1.0,0.51232654,ddpm
1.0,1.0,0.5269792,ddpm
1.0,1.0,0.53815186,ddpm
1.0,0.0,0.49343187,ddpm
1.0,1.0,0.5241547,ddpm
1.0,1.0,0.54038674,ddpm
1.0,0.0,0.49971488,ddpm
1.0,1.0,0.5534641,ddpm
1.0,0.0,0.47053403,ddpm
1.0,1.0,0.56199265,ddpm
1.0,1.0,0.505011,ddpm
1.0,0.0,0.49047673,ddpm
1.0,1.0,0.5435682,ddpm
1.0,1.0,0.5428338,ddpm
1.0,1.0,0.52783644,ddpm
1.0,1.0,0.52878374,ddpm
1.0,0.0,0.49757618,ddpm
1.0,0.0,0.49446008,ddpm
1.0,1.0,0.5615343,ddpm
1.0,1.0,0.52884746,ddpm
1.0,1.0,0.5112101,ddpm
1.0,1.0,0.58274364,ddpm
1.0,1.0,0.5434292,ddpm
1.0,1.0,0.5006109,ddpm
1.0,0.0,0.47235665,ddpm
1.0,1.0,0.52380115,ddpm
1.0,1.0,0.5555913,ddpm
1.0,1.0,0.54410726,ddpm
1.0,1.0,0.558121,ddpm
1.0,1.0,0.532392,ddpm
1.0,0.0,0.496161,ddpm
1.0,1.0,0.51867163,ddpm
1.0,1.0,0.56836665,ddpm
1.0,1.0,0.5059646,ddpm
1.0,1.0,0.52936035,ddpm
1.0,1.0,0.50865686,ddpm
1.0,0.0,0.488589,ddpm
1.0,0.0,0.47937304,ddpm
1.0,1.0,0.56794417,ddpm
1.0,1.0,0.5409675,ddpm
1.0,1.0,0.5681575,ddpm
1.0,1.0,0.5062953,ddpm
1.0,1.0,0.537802,ddpm
1.0,1.0,0.54872745,ddpm
1.0,1.0,0.5334653,ddpm
1.0,1.0,0.56444454,ddpm
1.0,1.0,0.54149365,ddpm
1.0,0.0,0.4982248,ddpm
1.0,1.0,0.53035635,ddpm
1.0,0.0,0.4794663,ddpm
1.0,1.0,0.5125461,ddpm
1.0,1.0,0.5025164,ddpm
1.0,1.0,0.5195559,ddpm
1.0,0.0,0.4957893,ddpm
1.0,0.0,0.4838124,ddpm
1.0,0.0,0.49900487,ddpm
1.0,0.0,0.48802164,ddpm
1.0,0.0,0.48585978,ddpm
1.0,1.0,0.5653788,ddpm
1.0,1.0,0.5229376,ddpm
1.0,1.0,0.522376,ddpm
1.0,1.0,0.5266596,ddpm
1.0,1.0,0.51922464,ddpm
1.0,1.0,0.5213126,ddpm
1.0,0.0,0.49719226,ddpm
1.0,0.0,0.47410104,ddpm
1.0,1.0,0.5688055,ddpm
1.0,1.0,0.5005163,ddpm
1.0,1.0,0.5079455,ddpm
1.0,1.0,0.53767896,ddpm
1.0,1.0,0.53128684,ddpm
1.0,1.0,0.52783436,ddpm
1.0,0.0,0.49458343,ddpm
1.0,0.0,0.46544203,ddpm
1.0,0.0,0.48454508,ddpm
1.0,0.0,0.493676,ddpm
1.0,1.0,0.6126753,ddpm
1.0,1.0,0.507943,ddpm
1.0,0.0,0.4830449,ddpm
1.0,1.0,0.5461872,ddpm
1.0,1.0,0.5538497,ddpm
1.0,1.0,0.51847965,ddpm
1.0,1.0,0.53030235,ddpm
1.0,1.0,0.50233257,ddpm
1.0,1.0,0.51964146,ddpm
1.0,0.0,0.49608752,ddpm
1.0,0.0,0.49455908,ddpm
1.0,1.0,0.541313,ddpm
1.0,1.0,0.5252577,ddpm
1.0,1.0,0.5234801,ddpm
1.0,0.0,0.45092082,ddpm
1.0,0.0,0.48004413,ddpm
1.0,0.0,0.4915454,ddpm
1.0,0.0,0.49382108,ddpm
1.0,1.0,0.57018775,ddpm
1.0,1.0,0.5522016,ddpm
1.0,1.0,0.5075867,ddpm
1.0,0.0,0.48072076,ddpm
1.0,0.0,0.4866657,ddpm
1.0,1.0,0.51486635,ddpm
1.0,1.0,0.57786244,ddpm
1.0,1.0,0.55178756,ddpm
1.0,1.0,0.5349709,ddpm
1.0,1.0,0.52673006,ddpm
1.0,1.0,0.5042825,ddpm
1.0,1.0,0.5328066,ddpm
1.0,1.0,0.54960805,ddpm
1.0,1.0,0.58806026,ddpm
1.0,0.0,0.49249613,ddpm
1.0,1.0,0.5346078,ddpm
1.0,0.0,0.4952341,ddpm
1.0,1.0,0.51004285,ddpm
1.0,1.0,0.59212,ddpm
1.0,1.0,0.5309943,ddpm
1.0,0.0,0.47389448,ddpm
1.0,1.0,0.5251269,ddpm
1.0,1.0,0.5272433,ddpm
1.0,1.0,0.5499127,ddpm
1.0,0.0,0.49214688,ddpm
1.0,0.0,0.49890935,ddpm
1.0,1.0,0.52715737,ddpm
1.0,1.0,0.5493305,ddpm
1.0,0.0,0.48821855,ddpm
1.0,0.0,0.48055068,ddpm
1.0,1.0,0.505123,ddpm
1.0,1.0,0.5346752,ddpm
1.0,0.0,0.4981591,ddpm
1.0,1.0,0.54113036,ddpm
1.0,0.0,0.48814172,ddpm
1.0,0.0,0.47183368,ddpm
1.0,1.0,0.591946,ddpm
1.0,0.0,0.48407906,ddpm
1.0,1.0,0.5280967,ddpm
1.0,1.0,0.50142795,ddpm
1.0,1.0,0.5222743,ddpm
1.0,0.0,0.47532168,ddpm
1.0,0.0,0.48688412,ddpm
1.0,0.0,0.49186152,ddpm
1.0,0.0,0.47972557,ddpm
1.0,1.0,0.5486271,ddpm
1.0,1.0,0.5049037,ddpm
1.0,0.0,0.49307957,ddpm
1.0,1.0,0.5192277,ddpm
1.0,1.0,0.5451445,ddpm
1.0,0.0,0.4979569,ddpm
1.0,1.0,0.51351815,ddpm
1.0,0.0,0.49928474,ddpm
1.0,1.0,0.5290821,ddpm
1.0,1.0,0.519941,ddpm
1.0,1.0,0.58333564,ddpm
1.0,1.0,0.5026246,ddpm
1.0,1.0,0.53742456,ddpm
1.0,1.0,0.5429027,ddpm
1.0,1.0,0.5110103,ddpm
1.0,1.0,0.55866104,ddpm
1.0,1.0,0.5205573,ddpm
1.0,0.0,0.48764706,ddpm
1.0,1.0,0.5541176,ddpm
1.0,1.0,0.5458883,ddpm
1.0,1.0,0.5540237,ddpm
1.0,1.0,0.5108764,ddpm
1.0,1.0,0.500196,ddpm
1.0,1.0,0.57153434,ddpm
1.0,1.0,0.54424536,ddpm
1.0,1.0,0.53437465,ddpm
1.0,1.0,0.52134,ddpm
1.0,0.0,0.47199932,ddpm
1.0,1.0,0.5422287,ddpm
1.0,0.0,0.4904928,ddpm
1.0,1.0,0.52473533,ddpm
1.0,1.0,0.5409318,ddpm
1.0,1.0,0.5209812,ddpm
1.0,0.0,0.4919549,ddpm
1.0,1.0,0.5817502,ddpm
1.0,1.0,0.5394537,ddpm
1.0,0.0,0.49602348,ddpm
1.0,1.0,0.5527486,ddpm
1.0,1.0,0.54140186,ddpm
1.0,0.0,0.49005303,ddpm
1.0,1.0,0.54162216,ddpm
1.0,0.0,0.4881367,ddpm
1.0,1.0,0.57540166,ddpm
1.0,0.0,0.47894758,ddpm
1.0,1.0,0.5213232,ddpm
1.0,1.0,0.5393771,ddpm
1.0,0.0,0.48816547,ddpm
1.0,1.0,0.52311033,ddpm
1.0,1.0,0.5172913,ddpm
1.0,1.0,0.56324834,ddpm
1.0,1.0,0.5230704,ddpm
1.0,1.0,0.5380572,ddpm
1.0,1.0,0.50608563,ddpm
1.0,1.0,0.54247653,ddpm
1.0,0.0,0.49392053,ddpm
1.0,1.0,0.5425436,ddpm
1.0,1.0,0.5178215,ddpm
1.0,0.0,0.47809145,ddpm
1.0,1.0,0.52603924,ddpm
1.0,0.0,0.4882061,ddpm
1.0,1.0,0.50847185,ddpm
1.0,1.0,0.53121084,ddpm
1.0,1.0,0.5022113,ddpm
1.0,1.0,0.57824886,ddpm
1.0,0.0,0.49931383,ddpm
1.0,1.0,0.51873857,ddpm
1.0,1.0,0.5340828,ddpm
1.0,1.0,0.52573264,ddpm
1.0,1.0,0.5319565,ddpm
1.0,1.0,0.54296917,ddpm
1.0,1.0,0.5204819,ddpm
